"sites" "variable" "age" "mean" "lenghth" "se"
"283" "KLOT" "Carpinus" 750 4.6829008563969 4 2.72271687191435
"284" "MNIVA" "Carpinus" 750 87.8892661045818 4 28.5823431504794
"285" "PRASILSKE" "Carpinus" 750 29.0756889883684 9 7.01815087264745
"286" "RIBNO" "Carpinus" 750 81.0660388441861 3 6.29416700945571
"287" "ROUGE" "Carpinus" 750 91.7345006950038 11 15.4115991372249
"288" "SHABLA" "Carpinus" 750 787.328605200946 1 0
"289" "SUMINKO" "Carpinus" 750 1214.74862638377 20 170.088074055261
"290" "TOSACJQS" "Carpinus" 750 0 8 0
"291" "TSOULACC" "Carpinus" 750 0 6 0
"292" "VOULK" "Carpinus" 750 309.824894091421 6 74.9621344345087
"293" "ABBO" "Corylus" 750 3.72755568110458 4 1.37423354688168
"294" "AKUV" "Corylus" 750 0 1 0
"295" "BACHALP" "Corylus" 750 138.710729310594 5 50.9963879727171
"296" "BRUN" "Corylus" 750 0 1 0
"297" "HOLT" "Corylus" 750 27.5408014097709 4 6.92835520477752
"298" "KLOT" "Corylus" 750 29.8245765669412 4 7.58137952596009
"299" "MNIVA" "Corylus" 750 118.451013335531 4 44.6052301955667
"300" "PRASILSKE" "Corylus" 750 326.61539106922 9 33.5000096488352
"301" "RIBNO" "Corylus" 750 77.8638848480494 3 25.1196106333709
"302" "ROUGE" "Corylus" 750 305.600973704532 11 39.2267711640497
"303" "SAEGIST" "Corylus" 750 240.093135615992 8 25.4572041850858
"304" "SHABLA" "Corylus" 750 246.040189125296 1 0
"305" "SUMINKO" "Corylus" 750 629.864159384098 20 63.5940185876225
"306" "SUOVAL" "Corylus" 750 0 1 0
"307" "TOSACJQS" "Corylus" 750 0.421532675 8 0.132905926856525
"308" "TSOULACC" "Corylus" 750 0.280199233333333 6 0.177485813618923
"309" "VOULK" "Corylus" 750 25.3929691340975 6 5.15231569533178
"310" "ABBO" "Cyperaceae" 750 40.6572312578224 4 3.82584507949267
"311" "AKUV" "Cyperaceae" 750 42.9000429000429 1 0
"312" "BACHALP" "Cyperaceae" 750 395.357366755318 5 43.6848882177309
"313" "BRUN" "Cyperaceae" 750 30.8973670069855 1 0
"314" "HOLT" "Cyperaceae" 750 42.5652625244652 4 8.17082367672396
"315" "KLOT" "Cyperaceae" 750 38.9859278351939 4 8.13598840745045
"316" "MNIVA" "Cyperaceae" 750 27.2753403459211 4 9.51541450308988
"317" "PRASILSKE" "Cyperaceae" 750 43.3446894181292 9 8.99552257436885
"318" "RIBNO" "Cyperaceae" 750 19.4492474483339 3 5.60104220481223
"319" "ROUGE" "Cyperaceae" 750 534.808725856591 11 47.406454012624
"320" "SAEGIST" "Cyperaceae" 750 125.701413749987 8 13.8283969738853
"321" "SHABLA" "Cyperaceae" 750 24.6040189125296 1 0
"322" "SUMINKO" "Cyperaceae" 750 109.132712834836 20 14.2483552117315
"323" "SUOVAL" "Cyperaceae" 750 11.5938892474407 1 0
"324" "TOSACJQS" "Cyperaceae" 750 37.0002675 8 4.72780613828925
"325" "TSOULACC" "Cyperaceae" 750 30.3430266666667 6 1.86099079058023
"326" "VOULK" "Cyperaceae" 750 30.1685509446099 6 5.54629177213019
"327" "ABBO" "Fagus" 750 0.992679207568273 4 0.992679207568273
"328" "BACHALP" "Fagus" 750 192.385257666308 5 25.983871999838
"329" "HOLT" "Fagus" 750 5.89581985518822 4 2.29160437298485
"330" "KLOT" "Fagus" 750 2.14459989385245 4 2.14459989385245
"331" "MNIVA" "Fagus" 750 990.375459153262 4 285.577694108506
"332" "PRASILSKE" "Fagus" 750 803.665766270704 9 75.0516617075608
"333" "RIBNO" "Fagus" 750 481.157598269013 3 107.841512863501
"334" "ROUGE" "Fagus" 750 12.990254379566 11 4.26277072218077
"335" "SAEGIST" "Fagus" 750 175.507865840959 8 37.5814963255942
